Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,,NTC,,,36.38886971,36.38886971,0,NaN,NaN,NaN,0,61.2,
A02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A04,SYBR,,Unkn,,,37.41346764,37.41346764,0,3621084.218,6.558838626,3621084.218,0,61.2,
A05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A06,SYBR,,Unkn,,,33.79015884,33.79015884,0,45249847.61,7.655617121,45249847.61,0,61.2,
A07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A08,SYBR,,Unkn,,,36.21715385,36.21715385,0,8336116.46,6.920963773,8336116.46,0,61.2,
A09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
A12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B01,SYBR,,Unkn,,,37.65541544,37.65541544,0,3059150.41,6.485600831,3059150.41,0,61.2,
B02,SYBR,,Unkn,,,35.53656247,35.53656247,0,13396129.38,7.126979333,13396129.38,0,61.2,
B03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B09,SYBR,,Unkn,,,37.87146769,37.87146769,0,2631489.49,6.42020164,2631489.49,0,61.2,
B10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
B12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C05,SYBR,,Unkn,,,36.92461356,36.92461356,0,5091141.298,6.70681515,5091141.298,0,61.2,
C06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
C11,SYBR,,Unkn,,,39.07635132,39.07635132,0,1136272.238,6.055482396,1136272.238,0,61.2,
C12,SYBR,,Unkn,,,38.07455952,38.07455952,0,2284155.05,6.358725581,2284155.05,0,61.2,
D01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
D02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
D03,SYBR,,Unkn,,,36.67906359,36.67906359,0,6041479.742,6.781143324,6041479.742,0,61.2,
D04,SYBR,,Unkn,,,30.09583314,30.09583314,0,594145060,8.773892491,594145060,0,61.2,
D05,SYBR,,Unkn,,,37.67976028,37.67976028,0,3007680.015,6.47823163,3007680.015,0,61.2,
D06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
D07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
D08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,61.2,
D09,SYBR,,Unkn,,,36.03382368,36.03382368,0,9472354.983,6.976457965,9472354.983,0,61.2,
D10,SYBR,,Unkn,,,37.38836593,37.38836593,0,3684995.264,6.566436934,3684995.264,0,61.2,
E01,SYBR,,Std,,,21.2076894,21.2076894,0,3.2E+11,11.50514998,3.2E+11,0,61.2,
E02,SYBR,,Std,,,24.15965371,24.15965371,0,32000000000,10.50514998,32000000000,0,61.2,
E03,SYBR,,Std,,,27.33322086,27.33322086,0,3200000000,9.505149978,3200000000,0,61.2,
E04,SYBR,,Std,,,31.21669262,31.21669262,0,320000000,8.505149978,320000000,0,61.2,
E05,SYBR,,Std,,,35.05481905,35.05481905,0,32000000,7.505149978,32000000,0,61.2,
E06,SYBR,,Std,,,37.01904071,37.01904071,0,3200000,6.505149978,3200000,0,61.2,
G01,SYBR,,Neg Ctrl,,,33.29553925,33.29553925,0,63876170.25,7.80533887,63876170.25,0,61.2,
G02,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,61.2,
G03,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,61.2,
