Well,Content,Cq,SQ
A02,Unkn,NaN,NaN
A03,Unkn,NaN,NaN
A04,Unkn,37.41346764,3621084.218
A05,Unkn,NaN,NaN
A06,Real,33.79015884,45249847.61
A07,Unkn,NaN,NaN
A08,Unkn,36.21715385,8336116.46
A09,Unkn,NaN,NaN
A10,Unkn,NaN,NaN
A11,Unkn,NaN,NaN
A12,Unkn,NaN,NaN
B01,Unkn,37.65541544,3059150.41
B02,Unkn,35.53656247,13396129.38
B03,Unkn,NaN,NaN
B04,Unkn,NaN,NaN
B05,Unkn,NaN,NaN
B06,Unkn,NaN,NaN
B07,Unkn,NaN,NaN
B08,Unkn,NaN,NaN
B09,Unkn,37.87146769,2631489.49
B10,Unkn,NaN,NaN
B11,Unkn,NaN,NaN
B12,Unkn,NaN,NaN
C01,Unkn,NaN,NaN
C02,Unkn,NaN,NaN
C03,Unkn,NaN,NaN
C04,Unkn,NaN,NaN
C05,Unkn,36.92461356,5091141.298
C06,Unkn,NaN,NaN
C07,Unkn,NaN,NaN
C08,Unkn,NaN,NaN
C09,Unkn,NaN,NaN
C10,Unkn,NaN,NaN
C11,Unkn,39.07635132,1136272.238
C12,Unkn,38.07455952,2284155.05
D01,Unkn,NaN,NaN
D02,Unkn,NaN,NaN
D03,Unkn,36.67906359,6041479.742
D04,Real,30.09583314,594145060
D05,Unkn,37.67976028,3007680.015
D06,Unkn,NaN,NaN
D07,Unkn,NaN,NaN
D08,Unkn,NaN,NaN
D09,Unkn,36.03382368,9472354.983
D10,Unkn,37.38836593,3684995.264
E01,Std,21.2076894,3.20E+11
E02,Std,24.15965371,32000000000
E03,Std,27.33322086,3200000000
E04,Std,31.21669262,320000000
E05,Std,35.05481905,32000000
E06,Std,37.01904071,3200000
